Codigo|Nome
01|Bancos privados
02|Bancos públicos + Caixa Econômica Federal
03|Bancos privados + Bancos públicos + Caixa Econômica Federal
04|Cooperativas de Crédito
05|Bancos de Desenvolvimento e Investimento
06|Agências de Fomento e Companhias Hipotecaria
07|Sociedades de Crédito, Financiamento e Investimento (CFI)
08|Sociedades de Arrendamento Mercantil
09|Sociedades Distribuidoras...
10|Associações de poupança e empréstimos e sociedades de crédito Imobiliário
11|Consolidado Geral
