Cnpj|Nome|Codigo
02992446|BANCO CNH INDUSTRIAL CAPITAL S.A.|01
59109165|BANCO VOLKSWAGEN S.A.|01
02801938|BANCO MORGAN STANLEY S.A.|01
42272526|BNY MELLON BANCO S.A.|01
60498557|BANCO MUFG BRASIL S.A.|01
03502961|BANCO PSA FINANCE BRASIL S.A.|01
10690848|BANCO DA CHINA BRASIL S.A.|01
17351180|BANCO TRIANGULO S.A.|01
04332281|GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.|01
60850229|OMNI BANCO S.A.|01
33479023|BANCO CITIBANK S.A.|01
61348538|BANCO C6 CONSIGNADO S.A.|01
33254319|BANCO LOSANGO S.A. - BANCO MÚLTIPLO|01
45246410|BANCO GENIAL S.A.|01
50585090|BCV - BANCO DE CRÉDITO E VAREJO S.A.|01
62421979|BANCO CIFRA S.A.|01
62073200|BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.|01
60394079|BANCO ITAUBANK S.A.|01
59285411|BANCO PAN S.A.|01
17298092|BANCO ITAÚ BBA S.A.|01
62232889|BANCO DAYCOVAL S.A.|01
33172537|BANCO J.P. MORGAN S.A.|01
28811341|STONEX BANCO DE CÂMBIO S.A.|01
15114366|BANCO BOCOM BBM S.A.|01
15173776|SOCIAL BANK BANCO MÚLTIPLO S/A|01
13720915|BANCO WESTERN UNION DO BRASIL S.A.|01
03532415|BANCO ABN AMRO S.A.|01
01181521|BANCO COOPERATIVO SICREDI S.A.|01
33132044|BANCO CEDULA S.A.|01
44189447|BANCO DE LA PROVINCIA DE BUENOS AIRES|01
01852137|BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA|01
71027866|BANCO BS2 S.A.|01
92874270|BANCO DIGIMAIS S.A.|01
00556603|BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.|01
03323840|BANCO ALFA S.A.|01
33042151|BANCO DE LA NACION ARGENTINA|01
33042953|CITIBANK N.A.|01
11417016|SCANIA BANCO S.A.|01
13059145|BEXS BANCO DE CÂMBIO S/A|01
48795256|BANCO ANDBANK (BRASIL) S.A.|01
23903068|BANCO KOMATSU DO BRASIL S.A.|01
33885724|BANCO ITAÚ CONSIGNADO S.A.|01
07656500|BANCO KDB DO BRASIL S.A.|01
59274605|BANCO GM S.A.|01
09516419|PICPAY BANK - BANCO MÚLTIPLO S.A|01
57839805|BANCO TRICURY S.A.|01
33264668|BANCO XP S.A.|01
